Team,Year,Matches,Wins,Win_Percentage
Arsenal,1930,15,10.0,0.6666666666666666
Arsenal,1931,10,4.0,0.4
Arsenal,2000,21,11.0,0.5238095238095238
Arsenal,2001,25,15.0,0.6
Arsenal,2002,41,28.0,0.6829268292682927
Arsenal,2003,34,18.0,0.5294117647058824
Arsenal,2004,19,13.0,0.6842105263157895
Arsenal,2005,15,8.0,0.5333333333333333
Arsenal,2006,11,5.0,0.45454545454545453
Arsenal,2007,9,5.0,0.5555555555555556
Arsenal,2008,11,6.0,0.5454545454545454
Arsenal,2009,12,6.0,0.5
Arsenal,2010,20,13.0,0.65
Arsenal,2011,15,13.0,0.8666666666666667
Arsenal,2012,11,6.0,0.5454545454545454
Arsenal,2013,22,12.0,0.5454545454545454
Arsenal,2014,17,12.0,0.7058823529411765
Arsenal,2015,39,22.0,0.5641025641025641
Arsenal,2016,34,18.0,0.5294117647058824
Arsenal,2017,35,21.0,0.6
Arsenal,2018,55,25.0,0.45454545454545453
Arsenal,2019,54,26.0,0.48148148148148145
Arsenal,2020,54,23.0,0.42592592592592593
Arsenal,2021,60,32.0,0.5333333333333333
Arsenal,2022,54,37.0,0.6851851851851852
Arsenal,2023,58,35.0,0.603448275862069
Arsenal,2024,69,46.0,0.6666666666666666
Arsenal,2025,35,18.0,0.5142857142857142
Arsenal,2026,22,15.0,0.6818181818181818
Arsenal,2027,13,8.0,0.6153846153846154
Arsenal,2028,20,9.0,0.45
Arsenal,2029,22,14.0,0.6363636363636364
Aston Villa,1930,13,5.0,0.38461538461538464
Aston Villa,1931,12,3.0,0.25
Aston Villa,2000,19,7.0,0.3684210526315789
Aston Villa,2001,21,4.0,0.19047619047619047
Aston Villa,2002,42,13.0,0.30952380952380953
Aston Villa,2003,32,11.0,0.34375
Aston Villa,2004,11,6.0,0.5454545454545454
Aston Villa,2005,22,7.0,0.3181818181818182
Aston Villa,2006,10,4.0,0.4
Aston Villa,2007,12,6.0,0.5
Aston Villa,2008,7,1.0,0.14285714285714285
Aston Villa,2009,11,3.0,0.2727272727272727
Aston Villa,2010,17,7.0,0.4117647058823529
Aston Villa,2011,14,5.0,0.35714285714285715
Aston Villa,2012,14,6.0,0.42857142857142855
Aston Villa,2013,15,3.0,0.2
Aston Villa,2014,14,7.0,0.5
Aston Villa,2015,36,9.0,0.25
Aston Villa,2016,34,8.0,0.23529411764705882
Aston Villa,2017,13,5.0,0.38461538461538464
Aston Villa,2018,17,1.0,0.058823529411764705
Aston Villa,2019,31,8.0,0.25806451612903225
Aston Villa,2020,49,18.0,0.3673469387755102
Aston Villa,2021,60,21.0,0.35
Aston Villa,2022,53,14.0,0.2641509433962264
Aston Villa,2023,59,30.0,0.5084745762711864
Aston Villa,2024,73,30.0,0.410958904109589
Aston Villa,2025,36,11.0,0.3055555555555556
Aston Villa,2026,21,5.0,0.23809523809523808
Aston Villa,2027,19,8.0,0.42105263157894735
Aston Villa,2028,15,5.0,0.3333333333333333
Aston Villa,2029,16,6.0,0.375
Birmingham,1930,5,2.0,0.4
Birmingham,1931,3,0.0,0.0
Birmingham,2001,11,2.0,0.18181818181818182
Birmingham,2002,30,10.0,0.3333333333333333
Birmingham,2003,24,8.0,0.3333333333333333
Birmingham,2004,9,2.0,0.2222222222222222
Birmingham,2005,6,1.0,0.16666666666666666
Birmingham,2006,6,3.0,0.5
Birmingham,2007,6,1.0,0.16666666666666666
Birmingham,2008,5,0.0,0.0
Birmingham,2009,9,1.0,0.1111111111111111
Birmingham,2010,5,2.0,0.4
Birmingham,2011,6,2.0,0.3333333333333333
Birmingham,2012,11,4.0,0.36363636363636365
Birmingham,2013,8,1.0,0.125
Birmingham,2014,5,0.0,0.0
Birmingham,2015,9,3.0,0.3333333333333333
Birmingham,2016,9,2.0,0.2222222222222222
Birmingham,2017,6,0.0,0.0
Birmingham,2018,6,1.0,0.16666666666666666
Birmingham,2019,6,3.0,0.5
Birmingham,2020,11,3.0,0.2727272727272727
Birmingham,2021,6,3.0,0.5
Birmingham,2022,11,0.0,0.0
Birmingham,2023,6,1.0,0.16666666666666666
Birmingham,2024,6,2.0,0.3333333333333333
Birmingham,2025,7,3.0,0.42857142857142855
Birmingham,2026,10,4.0,0.4
Birmingham,2027,9,5.0,0.5555555555555556
Birmingham,2028,6,2.0,0.3333333333333333
Birmingham,2029,9,2.0,0.2222222222222222
Blackburn,1930,13,3.0,0.23076923076923078
